row_key,label,game,score,run_count
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),gopher,2.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),journey_escape,-2460.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),laser_gates,80.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),name_this_game,217.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),pacman,17.7,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),phoenix,222.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),qbert,222.5,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),riverraid,770.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),robotank,1.5,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),seaquest,38.0,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),tennis,-1.9,10
claude-sonnet-4-6|structured_history|default|low,Claude Sonnet 4.6 (Low),time_pilot,200.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),air_raid,222.22222222222223,9
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),assault,147.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),beam_rider,30.8,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),boxing,-1.4,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),breakout,1.1,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),demon_attack,40.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),fishing_derby,-9.6,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),freeway,2.9,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),gopher,18.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),journey_escape,-8370.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),laser_gates,40.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),name_this_game,194.44444444444446,9
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),pacman,9.7,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),phoenix,74.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),qbert,180.55555555555554,9
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),riverraid,693.3333333333334,9
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),robotank,0.7,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),seaquest,22.0,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),tennis,-1.4,10
deepseek-ai/deepseek-v3.1|structured_history|off|none,DeepSeek V3.1 (None),time_pilot,180.0,10
zai-org/glm-5.1|structured_history|off|none,GLM 5.1 (None),air_raid,165.0,10
